,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuktoyaktuk,90,CA,1566701872,70,69.44,-133.03,42.8,23.04
1,hilo,90,US,1566701872,62,19.71,-155.08,84.2,11.41
2,matara,64,BI,1566701872,77,-3.48,29.48,51.67,0.18
3,sailana,100,IN,1566701873,85,23.46,74.92,76.46,7.25
4,doha,0,QA,1566701764,75,25.29,51.53,91.4,5.82
5,punta arenas,0,CL,1566701620,75,-53.16,-70.91,41.0,12.75
6,kyshtovka,0,RU,1566701873,75,56.56,76.62,57.74,9.4
7,mar del plata,43,AR,1566701874,69,-46.43,-67.52,45.37,17.72
8,vestmannaeyjar,100,IS,1566701874,86,63.44,-20.27,50.27,6.02
9,busselton,0,AU,1566701874,38,-33.64,115.35,64.99,8.3
10,airai,0,TL,1566701874,47,-8.93,125.41,82.29,6.2
11,namatanai,100,PG,1566701874,75,-3.66,152.44,81.86,10.87
12,amuntai,100,ID,1566701875,43,-2.42,115.25,93.39,5.7
13,rikitea,64,PF,1566701875,69,-23.12,-134.97,70.25,21.27
14,port hardy,90,CA,1566701875,93,50.7,-127.42,57.2,3.36
15,saint george,0,GR,1566701784,68,39.45,22.34,79.0,2.42
16,sao filipe,48,CV,1566701876,85,14.9,-24.5,78.65,13.8
17,fairbanks,1,US,1566701659,36,64.84,-147.72,60.8,8.05
18,ajdabiya,0,LY,1566701876,78,30.75,20.22,78.85,16.4
19,saint-philippe,1,CA,1566701877,93,45.36,-73.48,63.0,5.82
20,bikaner,98,IN,1566701877,49,28.02,73.32,89.54,13.76
21,yulara,0,AU,1566701877,42,-25.24,130.99,66.2,14.99
22,hobart,75,AU,1566701869,50,-42.88,147.33,52.0,11.41
23,los arabos,29,CU,1566701878,85,22.73,-80.72,78.74,7.65
24,posse,0,BR,1566701878,40,-14.08,-46.36,74.26,6.44
25,belmonte,42,PT,1566701878,62,40.36,-7.35,66.0,1.32
26,victoria,75,BN,1566701879,74,5.28,115.24,87.8,2.24
27,cape town,40,ZA,1566701723,93,-33.93,18.42,57.99,8.05
28,avera,90,US,1566701800,88,33.19,-82.53,75.2,10.29
29,provideniya,67,RU,1566701879,56,64.42,-173.23,55.14,5.61
30,leningradskiy,76,RU,1566701879,87,69.38,178.42,42.51,8.25
31,susehri,0,TR,1566701879,91,40.16,38.09,49.6,2.91
32,salalah,75,OM,1566701880,94,17.01,54.1,78.8,5.82
33,pitkyaranta,0,RU,1566701880,87,61.57,31.48,54.55,6.29
34,sioux lookout,20,CA,1566701625,68,50.1,-91.92,69.8,8.05
35,new norfolk,75,AU,1566701880,50,-42.78,147.06,52.0,11.41
36,ushuaia,20,AR,1566701880,75,-54.81,-68.31,41.0,4.92
37,daru,74,PG,1566701881,68,-9.07,143.21,79.64,9.93
38,pauini,59,BR,1566701881,76,-7.71,-67.0,75.86,3.8
39,klaksvik,34,FO,1566701881,93,62.23,-6.59,51.8,17.22
40,okhotsk,100,RU,1566701882,78,59.36,143.24,57.7,11.14
41,tezu,0,IN,1566701882,53,27.93,96.16,87.35,2.17
42,mataura,100,NZ,1566701882,96,-46.19,168.86,46.99,3.0
43,pevek,26,RU,1566701809,73,69.7,170.27,44.79,8.03
44,yumen,100,CN,1566701883,16,40.29,97.04,80.7,21.43
45,hermanus,1,ZA,1566701883,83,-34.42,19.24,55.99,8.01
46,el alto,40,BO,1566701883,60,-16.5,-68.19,41.0,6.93
47,kalanguy,34,RU,1566701883,73,51.01,116.52,65.01,9.19
48,butaritari,81,KI,1566701884,68,3.07,172.79,84.92,6.91
49,tiksi,94,RU,1566701884,88,71.64,128.87,49.02,13.35
50,abu kamal,0,SY,1566701884,26,34.45,40.92,80.99,12.86
51,muros,75,ES,1566701587,100,42.77,-9.06,66.99,4.7
